City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,tsiombe,-25.3,45.4833,72.81,74,10,12.95,MG,Mon Feb 19 15:18:36 2024
62,torit,4.4133,32.5678,81.72,36,48,3.06,SS,Mon Feb 19 15:18:36 2024
63,kerikeri,-35.2268,173.9474,75.9,71,6,3.0,NZ,Mon Feb 19 15:18:37 2024
64,west island,-12.1568,96.8225,78.78,89,56,3.44,CC,Mon Feb 19 15:18:37 2024
65,isafjordur,66.0755,-23.124,36.77,93,100,11.16,IS,Mon Feb 19 15:18:37 2024
66,hithadhoo,-0.6,73.0833,82.63,82,93,10.63,MV,Mon Feb 19 15:18:39 2024
67,stanley,54.868,-1.6985,46.42,84,20,12.66,GB,Mon Feb 19 15:18:40 2024
68,koksovyy,48.1967,40.5989,21.31,92,22,5.46,RU,Mon Feb 19 15:18:40 2024
69,zaozersk,69.4005,32.4476,23.5,94,100,7.96,RU,Mon Feb 19 15:18:40 2024
70,port lincoln,-34.7333,135.8667,68.27,77,100,7.85,AU,Mon Feb 19 15:18:41 2024
71,new norfolk,-42.7826,147.0587,64.92,70,100,1.72,AU,Mon Feb 19 15:18:41 2024
72,iqaluit,63.7506,-68.5145,-20.31,61,20,12.66,CA,Mon Feb 19 15:18:42 2024
73,saipan,15.1355,145.701,81.3,69,20,19.57,MP,Mon Feb 19 15:17:22 2024
74,hermanus,-34.4187,19.2345,73.8,60,0,8.23,ZA,Mon Feb 19 15:18:43 2024
75,bishkek,42.87,74.59,8.8,85,100,1.72,KG,Mon Feb 19 15:18:44 2024
76,margaret river,-33.95,115.0667,75.87,45,100,2.08,AU,Mon Feb 19 15:18:44 2024
77,avarua,-21.2078,-159.775,84.25,65,75,21.85,CK,Mon Feb 19 15:17:10 2024
78,markovo,57.3206,107.0881,-18.15,97,100,6.8,RU,Mon Feb 19 15:18:45 2024
79,tughyl,47.7252,84.2063,-20.2,92,11,3.22,KZ,Mon Feb 19 15:18:45 2024
80,vorgashor,67.5833,63.95,12.65,93,100,18.92,RU,Mon Feb 19 15:18:46 2024
81,bilibino,68.0546,166.4372,-11.96,75,3,8.43,RU,Mon Feb 19 15:18:47 2024
82,urucara,-2.5364,-57.76,83.5,67,91,0.76,BR,Mon Feb 19 15:18:47 2024
83,punta arenas,-53.15,-70.9167,59.11,88,100,10.36,CL,Mon Feb 19 15:18:47 2024
84,nemuro,43.3236,145.575,32.22,90,100,17.25,JP,Mon Feb 19 15:18:48 2024
85,ust-nera,64.5667,143.2,-22.86,100,100,3.04,RU,Mon Feb 19 15:18:48 2024
86,kruisfontein,-34.0033,24.7314,65.88,95,3,7.14,ZA,Mon Feb 19 15:18:49 2024
87,carutapera,-1.195,-46.02,77.22,89,100,8.39,BR,Mon Feb 19 15:18:49 2024
88,saint croix,17.7397,-64.7388,81.05,81,20,10.36,VI,Mon Feb 19 15:18:49 2024
89,pueblo nuevo,23.3833,-105.3833,68.77,24,0,5.75,MX,Mon Feb 19 15:18:50 2024
90,kyosai,34.8503,128.5886,49.96,88,100,21.12,KR,Mon Feb 19 15:18:50 2024
91,talalayivka,50.9578,31.9209,28.94,72,100,8.12,UA,Mon Feb 19 15:18:51 2024
92,sao jose da coroa grande,-8.8978,-35.1478,81.97,79,56,7.49,BR,Mon Feb 19 15:18:51 2024
93,college,64.8569,-147.8028,32.07,70,40,5.75,US,Mon Feb 19 15:18:52 2024
94,hamilton,39.1834,-84.5333,50.14,36,0,0.0,US,Mon Feb 19 15:17:33 2024
95,puerto ayora,-0.7393,-90.3518,85.96,94,100,5.01,EC,Mon Feb 19 15:18:52 2024
96,klyuchi,52.2667,79.1667,-17.91,98,7,4.85,RU,Mon Feb 19 15:18:53 2024
97,pervomayskoye,43.919,46.7102,36.46,97,100,7.11,RU,Mon Feb 19 15:18:53 2024
98,kilindoni,-7.9139,39.6668,82.94,81,97,6.82,TZ,Mon Feb 19 15:18:54 2024
99,pacific grove,36.6177,-121.9166,65.89,71,20,30.0,US,Mon Feb 19 15:18:54 2024
100,puerto baquerizo moreno,-0.9,-89.6,81.59,89,75,8.05,EC,Mon Feb 19 15:18:55 2024
101,haiku-pauwela,20.9219,-156.3051,75.22,67,20,26.46,US,Mon Feb 19 15:18:55 2024
102,feijo,-8.1642,-70.3536,82.89,75,95,2.68,BR,Mon Feb 19 15:18:55 2024
103,san juan de miraflores,-12.1629,-76.9635,81.12,76,99,8.77,PE,Mon Feb 19 15:18:56 2024
104,nizhnyaya omka,55.4338,74.9426,-23.89,99,6,6.17,RU,Mon Feb 19 15:18:56 2024
105,coahuayana de hidalgo,18.7,-103.6583,83.71,51,0,7.76,MX,Mon Feb 19 15:18:57 2024
